1,20.065
1.01,20.055
1.02,19.296
1.03,21.117
1.04,19.97
1.05,19.393
1.06,21.464
1.07,19.893
1.08,19.535
1.09,19.836
1.1,19.288
1.11,19.022
1.12,22.675
1.13,21.812
1.14,20.471
1.15,18.914
1.16,19.314
1.17,20.012
1.18,20.989
1.19,18.875
1.2,17.887
1.21,18.778
1.22,20.571
1.23,20.64
1.24,20.712
1.25,20.143
1.26,20.47
1.27,19.824
1.28,21.176
1.29,18.968
1.3,20.8
1.31,19.513
1.32,20.045
1.33,20.95
1.34,21.456
1.35,19.319
1.36,21.719
1.37,21.14
1.38,20.436
1.39,20.333
1.4,20.336
1.41,20.277
1.42,20.632
1.43,20.69
1.44,21.496
1.45,22.23
1.46,21.204
1.47,20.564
1.48,21.437
1.49,21.035
1.5,19.864
1.51,21.887
1.52,21.292
1.53,21.169
1.54,21.601
1.55,21.402
1.56,20.256
1.57,21.096
1.58,21.176
1.59,20.857
1.6,23.142
1.61,20.659
1.62,21.13
1.63,20.986
1.64,20.612
1.65,21.687
1.66,21.704
1.67,23.613
1.68,21.944
1.69,21.247
1.7,24.039
1.71,23.802
1.72,22.478
1.73,21.351
1.74,22.572
1.75,23.03
1.76,23.643
1.77,23.298
1.78,24.209
1.79,24.378
1.8,22.972
1.81,23.529
1.82,24.009
1.83,24.536
1.84,25.041
1.85,25.717
1.86,23.047
1.87,26.023
1.88,28.162
1.89,26.331
1.9,28.854
1.91,28.841
1.92,29.085
1.93,29.974
1.94,28.959
1.95,31.219
1.96,33.71
1.97,32.981
1.98,33.585
1.99,33.221
2,33.949
2.01,33.787
2.02,33.17
2.03,31.31
2.04,30.27
2.05,31.327
2.06,25.866
2.07,29.221
2.08,26.251
2.09,25.891
2.1,22.256
2.11,22.408
2.12,21.841
2.13,21.703
2.14,18.806
2.15,20.176
2.16,17.749
2.17,18.31
2.18,18.202
2.19,17.204
2.2,17.305
2.21,16.592
2.22,14.315
2.23,14.616
2.24,12.822
2.25,11.864
2.26,13.541
2.27,12.058
2.28,11.453
2.29,11.879
2.3,11.03
2.31,10.261
2.32,10.644
2.33,9.8124
2.34,8.6178
2.35,7.1889
2.36,6.7344
2.37,8.0897
2.38,4.8023
2.39,5.9105
2.4,3.5113
2.41,6.0096
2.42,5.3836
2.43,4.0592
2.44,3.5267
2.45,0.65389
2.46,3.2669
2.47,0.041507
2.48,-0.53448
2.49,1.4181
2.5,-0.054725
